player_id, year, pitcher_hand, plate_appearences, hits, doubles, triples, home_runs, walks, strikeouts, intentional_walks, hit_by_pitch
110029.0, 2014, L, 16, 3, 0, 0, 0, 1, 2, 0, 0
110029.0, 2014, R, 139, 30, 9, 0, 1, 19, 19, 0, 0
547989.0, 2014, L, 158, 48, 10, 1, 10, 19, 34, 6, 2
547989.0, 2014, R, 464, 128, 25, 1, 26, 32, 97, 9, 9
547989.0, 2015, L, 157, 33, 8, 0, 3, 12, 31, 2, 3
547989.0, 2015, R, 511, 145, 26, 3, 27, 27, 109, 9, 12
473234.0, 2014, L, 1, 0, 0, 0, 0, 0, 0, 0, 0
473234.0, 2014, R, 3, 0, 0, 0, 0, 0, 0, 0, 0
554429.0, 2014, L, 162, 32, 6, 2, 1, 7, 36, 0, 2
554429.0, 2014, R, 380, 91, 21, 2, 13, 25, 54, 1, 1
554429.0, 2015, L, 27, 3, 1, 0, 0, 3, 6, 0, 0
554429.0, 2015, R, 237, 52, 10, 3, 10, 15, 39, 0, 1
542436.0, 2014, L, 2, 1, 0, 0, 0, 0, 0, 0, 0
542436.0, 2014, R, 13, 0, 0, 0, 0, 0, 5, 0, 0
542436.0, 2015, L, 24, 6, 0, 1, 0, 2, 5, 1, 0
542436.0, 2015, R, 34, 7, 1, 0, 0, 1, 6, 0, 1
572669.0, 2014, R, 3, 0, 0, 0, 0, 0, 2, 0, 0
571431.0, 2014, L, 130, 23, 2, 1, 3, 6, 36, 0, 1
571431.0, 2014, R, 433, 129, 32, 4, 12, 20, 78, 5, 2
571431.0, 2015, L, 27, 5, 1, 0, 0, 2, 10, 0, 0
571431.0, 2015, R, 159, 37, 8, 0, 5, 8, 31, 1, 0
501303.0, 2014, L, 29, 5, 1, 0, 0, 2, 8, 1, 0
501303.0, 2014, R, 77, 18, 5, 0, 0, 3, 14, 0, 1
501303.0, 2015, L, 39, 6, 2, 0, 0, 4, 3, 0, 1
501303.0, 2015, R, 95, 15, 5, 1, 0, 11, 17, 0, 3
542583.0, 2014, L, 23, 3, 0, 0, 0, 4, 8, 0, 0
542583.0, 2014, R, 15, 1, 0, 0, 0, 0, 5, 0, 0
542583.0, 2015, L, 9, 2, 0, 0, 0, 0, 4, 0, 1
542583.0, 2015, R, 11, 4, 1, 0, 0, 0, 3, 0, 0
605113.0, 2014, L, 38, 6, 1, 0, 0, 2, 5, 0, 0
605113.0, 2014, R, 37, 8, 1, 0, 1, 1, 5, 0, 0
605113.0, 2015, L, 120, 32, 4, 3, 2, 10, 15, 1, 1
605113.0, 2015, R, 339, 63, 13, 3, 7, 19, 66, 0, 0
570489.0, 2014, L, 90, 19, 4, 0, 3, 10, 20, 0, 2
570489.0, 2014, R, 210, 38, 7, 2, 7, 7, 73, 0, 0
570489.0, 2015, L, 5, 0, 0, 0, 0, 1, 2, 0, 0
570489.0, 2015, R, 27, 2, 0, 0, 0, 4, 9, 0, 0
501659.0, 2014, L, 82, 19, 6, 0, 1, 4, 14, 0, 1
501659.0, 2014, R, 138, 28, 4, 1, 2, 8, 46, 0, 0
501659.0, 2015, L, 64, 15, 1, 0, 0, 3, 14, 0, 0
501659.0, 2015, R, 194, 43, 11, 5, 5, 18, 38, 0, 0
501660.0, 2014, L, 5, 1, 0, 0, 0, 0, 2, 0, 0
501660.0, 2014, R, 31, 4, 0, 0, 1, 0, 12, 0, 0
475174.0, 2014, L, 58, 11, 5, 0, 0, 5, 13, 0, 1
475174.0, 2014, R, 230, 53, 14, 1, 7, 12, 23, 1, 0
475174.0, 2015, L, 86, 20, 1, 0, 1, 8, 16, 0, 2
475174.0, 2015, R, 316, 80, 17, 1, 4, 34, 32, 3, 1
571437.0, 2014, L, 2, 0, 0, 0, 0, 0, 0, 0, 0
571437.0, 2014, R, 3, 0, 0, 0, 0, 0, 2, 0, 0
571437.0, 2015, L, 58, 9, 5, 2, 0, 6, 12, 0, 1
571437.0, 2015, R, 103, 24, 6, 2, 5, 10, 29, 0, 4
514888.0, 2014, L, 161, 63, 11, 0, 4, 9, 14, 3, 0
514888.0, 2014, R, 546, 162, 36, 3, 3, 27, 39, 4, 5
