player_id, year, batter_hand, batters_faced, hits, doubles, triples, home_runs, walks, strikeouts, intentional_walks, hit_batters
430911.0, 2015, L, 42, 12, 2, 0, 3, 6, 7, 2, 1
430911.0, 2015, R, 87, 13, 5, 0, 3, 8, 28, 1, 0
472551.0, 2014, L, 100, 17, 2, 0, 1, 7, 35, 0, 4
472551.0, 2014, R, 116, 17, 1, 0, 3, 8, 16, 3, 0
472551.0, 2015, L, 110, 28, 4, 1, 7, 5, 26, 0, 1
472551.0, 2015, R, 95, 17, 2, 1, 4, 14, 19, 3, 0
469686.0, 2014, L, 31, 11, 1, 0, 4, 2, 5, 0, 0
469686.0, 2014, R, 54, 12, 3, 0, 2, 2, 11, 0, 1
430606.0, 2014, L, 20, 7, 2, 0, 1, 2, 4, 1, 0
430606.0, 2014, R, 59, 9, 1, 1, 0, 6, 17, 0, 0
346793.0, 2014, L, 116, 24, 6, 0, 1, 7, 19, 0, 4
346793.0, 2014, R, 109, 23, 4, 1, 0, 7, 22, 1, 0
346793.0, 2015, L, 73, 19, 3, 0, 2, 5, 12, 0, 1
346793.0, 2015, R, 90, 24, 3, 0, 4, 9, 9, 2, 1
452027.0, 2015, L, 6, 0, 0, 0, 0, 1, 1, 0, 0
452027.0, 2015, R, 5, 1, 0, 0, 1, 1, 0, 0, 0
458006.0, 2014, L, 25, 6, 2, 0, 0, 2, 4, 0, 0
458006.0, 2014, R, 17, 4, 1, 0, 0, 1, 4, 0, 1
458006.0, 2015, L, 59, 14, 2, 0, 1, 7, 7, 2, 0
458006.0, 2015, R, 90, 17, 2, 0, 2, 2, 21, 0, 1
456379.0, 2014, L, 122, 27, 3, 0, 5, 9, 32, 0, 2
456379.0, 2014, R, 114, 19, 0, 1, 2, 12, 31, 1, 1
456379.0, 2015, L, 104, 23, 3, 1, 4, 14, 22, 2, 0
456379.0, 2015, R, 167, 40, 7, 0, 0, 19, 36, 1, 1
518397.0, 2015, L, 7, 2, 0, 0, 0, 0, 1, 0, 1
518397.0, 2015, R, 18, 3, 0, 0, 0, 3, 2, 0, 0
592102.0, 2014, L, 140, 18, 5, 0, 3, 10, 59, 3, 0
592102.0, 2014, R, 139, 30, 8, 0, 4, 16, 32, 2, 1
592102.0, 2015, L, 140, 22, 6, 0, 1, 13, 50, 0, 2
592102.0, 2015, R, 146, 34, 10, 0, 1, 12, 49, 2, 0
506693.0, 2014, L, 434, 113, 22, 1, 6, 16, 66, 2, 1
506693.0, 2014, R, 338, 85, 13, 0, 8, 17, 45, 1, 7
506693.0, 2015, L, 57, 18, 3, 0, 1, 6, 6, 1, 0
506693.0, 2015, R, 45, 10, 3, 0, 0, 1, 3, 0, 0
501625.0, 2014, L, 2, 0, 0, 0, 0, 0, 1, 0, 0
501625.0, 2014, R, 1, 1, 0, 0, 0, 0, 0, 0, 0
501625.0, 2015, L, 117, 23, 3, 0, 1, 8, 27, 1, 4
501625.0, 2015, R, 166, 35, 8, 1, 4, 15, 32, 3, 1
459932.0, 2014, L, 5, 1, 0, 0, 0, 2, 0, 0, 0
459932.0, 2014, R, 4, 1, 0, 0, 0, 0, 1, 0, 0
474463.0, 2014, L, 48, 15, 2, 0, 0, 2, 6, 0, 0
474463.0, 2014, R, 132, 29, 10, 1, 1, 11, 23, 3, 0
474463.0, 2015, L, 221, 58, 9, 2, 1, 14, 37, 0, 2
474463.0, 2015, R, 529, 136, 17, 1, 17, 32, 79, 2, 0
502624.0, 2014, L, 218, 43, 8, 3, 7, 22, 39, 1, 1
502624.0, 2014, R, 268, 74, 11, 3, 9, 18, 66, 1, 1
502624.0, 2015, L, 298, 70, 18, 1, 7, 25, 58, 1, 3
502624.0, 2015, R, 342, 88, 15, 2, 11, 15, 53, 1, 4
594736.0, 2015, L, 161, 35, 7, 2, 5, 12, 18, 1, 1
594736.0, 2015, R, 204, 42, 7, 0, 4, 12, 26, 0, 0
542882.0, 2015, L, 134, 34, 3, 1, 5, 10, 22, 0, 1
542882.0, 2015, R, 148, 35, 6, 1, 3, 8, 27, 1, 1
502042.0, 2014, L, 471, 94, 17, 2, 5, 46, 100, 1, 4
502042.0, 2014, R, 351, 83, 11, 0, 7, 26, 73, 0, 4
502042.0, 2015, L, 458, 94, 20, 0, 9, 29, 132, 0, 1
502042.0, 2015, R, 410, 81, 11, 0, 10, 37, 120, 0, 2
453562.0, 2014, L, 282, 50, 12, 2, 2, 23, 84, 1, 2
453562.0, 2014, R, 332, 64, 10, 0, 3, 18, 83, 1, 1
453562.0, 2015, L, 409, 60, 15, 1, 3, 27, 123, 0, 3
453562.0, 2015, R, 461, 90, 17, 3, 7, 21, 113, 2, 3
276520.0, 2014, L, 193, 41, 9, 0, 4, 12, 22, 1, 2
276520.0, 2014, R, 164, 51, 6, 1, 6, 7, 25, 0, 1
594742.0, 2015, L, 71, 25, 7, 0, 4, 4, 9, 0, 0
594742.0, 2015, R, 67, 17, 3, 1, 4, 6, 7, 0, 1
425786.0, 2014, L, 100, 24, 6, 0, 2, 8, 20, 2, 0
425786.0, 2014, R, 180, 36, 8, 2, 2, 6, 29, 2, 0
425786.0, 2015, L, 31, 5, 0, 0, 1, 1, 6, 0, 1
